pattern
.*?Streptococcus.*?pneumoniae.*?
.*?Staphylococcus.*?epidermidis.*?
.*?Hay.*?bacillus.*?
.*?Group.*?streptococcus.*?
.*?Mycobacterium.*?tuberculosis.*?
.*?Listeria.*?monocytogenes.*?
.*?Bacillus.*?cereus.*?
.*?Streptococcus.*?agalactiae.*?
.*?Gardnerella.*?vaginalis.*?
.*?Clostridium.*?tetani.*?
.*?Anthrax.*?bacterium.*?
.*?Clostridium.*?botulinum.*?
.*?Clostridium.*?perfringens.*?
.*?Micrococcus.*?luteus.*?
.*?Lactococcus.*?lactis.*?
.*?Klebs.*?bacillus.*?
.*?Streptococcus.*?mutans.*?
.*?Lactobacillus.*?acidophilus.*?
.*?Cutibacterium.*?acnes.*?
.*?Lactiplantibacillus.*?plantarum.*?
.*?Staphylococcus.*?saprophyticus.*?
.*?Lacticaseibacillus.*?casei.*?
.*?Bacillus.*?thuringiensis.*?
.*?Lacticaseibacillus.*?rhamnosus.*?
.*?Mycoplasma.*?pneumoniae.*?
.*?Bacillus.*?megaterium.*?
.*?Ureaplasma.*?urealyticum.*?
.*?Mycoplasma.*?genitalium.*?
.*?Alkalihalobacillus.*?clausii.*?
.*?Limosilactobacillus.*?reuteri.*?
.*?Ureaplasma.*?parvum.*?
.*?Mycoplasma.*?hominis.*?
.*?Lactobacillus.*?gasseri.*?
.*?Bacillus.*?coagulans.*?
.*?Staphylococcus.*?hominis.*?
.*?Staphylococcus.*?haemolyticus.*?
.*?Streptococcus.*?thermophilus.*?
.*?Staphylococcus.*?lugdunensis.*?
.*?Mycobacterium.*?leprae.*?
.*?Streptococcus.*?anginosus.*?
.*?Bifidobacterium.*?longum.*?
.*?Streptococcus.*?dysgalactiae.*?
.*?Streptococcus.*?mitis.*?
.*?Streptococcus.*?bovis.*?
.*?Bifidobacterium.*?animalis.*?
.*?Aerococcus.*?urinae.*?
.*?Finegoldia.*?magna.*?
.*?Staphylococcus.*?capitis.*?
.*?c.*?difficile.*?
.*?c.*?perfringes.*?
.*?c.*?striatum.*?
.*?c.*?amycolatum.*?
.*?c.*?urealyticum.*?
.*?c.*?botulinum.*?
.*?c.*?tetani.*?
.*?clostridium.*?
.*?s.*?viridans.*?
.*?s.*?agalactiae.*?
.*?s.*?pyrogenes.*?
.*?strep.*?
.*?s.*?haemolyticus.*?
.*?s.*?pneumoniae.*?
.*?s.*?saprophyticus.*? 
.*?staph.*?
.*?s.*?epidermidis.*?
.*?micrococcus.*?
.*?actinomyces.*?
.*?actinomycetes.*?
.*?bacillus.*?
.*?corynbacterium.*?
.*?erysipelothrix.*?
.*?nocardia.*?
.*?mycobacterium.*?
.*?rhodococcus.*?
.*?streptomyces.*?
.*?staphylococcus.*?
.*?streptococcus.*?
.*?pos.*?
.*?cutibacterium.*?
.*?aerococcus.*?
.*?cons.*?
.*?l.*?monocytogenes.*?
.*?b.*?anthracis.*?
.*?b.*?cereus.*?
.*?c.*?hemolyticum.*?
.*?S.*?pneumoniae.*?
.*?S.*?epidermidis.*?
.*?H.*?bacillus.*?
.*?G.*?streptococcus.*?
.*?M.*?tuberculosis.*?
.*?E.*?faecalis.*?
.*?L.*?monocytogenes.*?
.*?B.*?cereus.*?
.*?S.*?agalactiae.*?
.*?G.*?vaginalis.*?
.*?C.*?tetani.*?
.*?A.*?bacterium.*?
.*?C.*?botulinum.*?
.*?C.*?perfringens.*?
.*?M.*?luteus.*?
.*?E.*?faecium.*?
.*?L.*?lactis.*?
.*?K.*?bacillus.*?
.*?S.*?mutans.*?
.*?L.*?acidophilus.*?
.*?C.*?acnes.*?
.*?L.*?plantarum.*?
.*?S.*?saprophyticus.*?
.*?L.*?casei.*?
.*?B.*?thuringiensis.*?
.*?L.*?rhamnosus.*?
.*?M.*?pneumoniae.*?
.*?B.*?megaterium.*?
.*?U.*?urealyticum.*?
.*?M.*?genitalium.*?
.*?A.*?clausii.*?
.*?L.*?reuteri.*?
.*?U.*?parvum.*?
.*?M.*?hominis.*?
.*?L.*?gasseri.*?
.*?B.*?coagulans.*?
.*?S.*?hominis.*?
.*?S.*?haemolyticus.*?
.*?S.*?thermophilus.*?
.*?S.*?lugdunensis.*?
.*?M.*?leprae.*?
.*?S.*?anginosus.*?
.*?B.*?longum.*?
.*?S.*?dysgalactiae.*?
.*?S.*?mitis.*?
.*?S.*?bovis.*?
.*?B.*?animalis.*?
.*?A.*?urinae.*?
.*?F.*?magna.*?
.*?S.*?capitis.*?
